,grid_point,latitude,longitude,valid_datetime,batch_datetime,wind_speed_10m,wind_speed_50m,wind_blast_speed_10m,t_instant_ground_2m,td_instant_ground_2m,pres_instant_sea_0m,pres_instant_ground_0m,r_instant_ground_2m,rain_instant_ground_0m,grad_accum_ground_0m,tcc_instant_ground_0m,vis_instant_ground_0m
65,136141,52.105,5.18,2023-04-01 00:00:00+00:00,2023-03-31 06:00:00+00:00,5.08021,7.1418447,10.466365,282.15723,281.5865,99028.98,98975.19,0.9614563,9.009242e-05,0.0,1.0000056,2831.1436
66,136141,52.105,5.18,2023-04-01 01:00:00+00:00,2023-03-31 06:00:00+00:00,4.670426,6.651459,9.381132,282.03906,281.3994,99040.47,98986.19,0.95705765,8.329749e-05,0.0,1.0000004,3154.2852
68,136141,52.105,5.18,2023-04-01 03:00:00+00:00,2023-03-31 06:00:00+00:00,4.049578,5.6911135,8.31484,281.49512,281.06445,99076.69,99022.5,0.9703828,9.3728304e-05,0.0,1.0000008,2374.903
69,136141,52.105,5.18,2023-04-01 04:00:00+00:00,2023-03-31 06:00:00+00:00,3.5291646,5.0571046,7.4436874,281.38184,281.03748,99098.98,99044.81,0.976532,0.00023081899,0.0,1.000001,2021.7197
70,136141,52.105,5.18,2023-04-01 05:00:00+00:00,2023-03-31 06:00:00+00:00,2.9159296,4.098618,6.624215,281.33984,281.15625,99138.75,99084.69,0.98713285,0.000108748674,0.0,1.0000069,1438.0676
71,136141,52.105,5.18,2023-04-01 06:00:00+00:00,2023-03-31 06:00:00+00:00,1.8809168,2.5444705,5.421751,281.49512,281.42685,99208.04,99153.56,0.9945861,4.1007996e-05,2364.6875,1.000001,269.02612
67,136141,52.105,5.18,2023-04-01 02:00:00+00:00,2023-03-31 06:00:00+00:00,4.5113754,6.2864413,8.600689,281.7544,281.25497,99052.516,98998.44,0.96650296,8.8095665e-05,0.0,1.0000013,2558.1746
246,136141,52.105,5.18,2023-04-02 05:00:00+00:00,2023-04-01 06:00:00+00:00,6.2525125,8.56629,11.683188,276.8235,272.9307,101708.72,101651.69,0.75708836,0.0,0.0,0.94143677,50000.0
225,136141,52.105,5.18,2023-04-01 08:00:00+00:00,2023-04-01 06:00:00+00:00,4.463302,6.165654,8.1932335,282.76025,282.34396,99548.164,99493.44,0.97186524,3.8444996e-05,19685.703,1.000001,2532.585
226,136141,52.105,5.18,2023-04-01 09:00:00+00:00,2023-04-01 06:00:00+00:00,4.535802,6.332293,8.340119,282.5869,282.16995,99632.19,99578.31,0.971575,0.00016310811,47751.36,1.0000012,2258.6914
227,136141,52.105,5.18,2023-04-01 10:00:00+00:00,2023-04-01 06:00:00+00:00,4.164046,5.7483144,8.320321,282.85205,282.36996,99715.49,99661.06,0.9676987,5.4627657e-05,103068.93,1.0,2751.1912
